arrival_to_far_corner_m,area_m2,address_rows,unit_rows,distinct_house_numbers,street,example_address,example_address_last,arrival_lat,arrival_lng,site_centre_lat,site_centre_lng
401.0,3529,1,0,1,Westwood,755 Westwood St,755 Westwood St,49.263084,-122.796061,49.261390,-122.792012
401.0,19266,1,0,1,Hazel,3343 Hazel Ave,3343 Hazel Ave,49.307456,-122.759868,49.309270,-122.760203
400.7,19190,1,0,1,Hazel,3367 Hazel Ave,3367 Hazel Ave,49.307446,-122.757840,49.309272,-122.757501
396.3,72746,1,0,0,Quarry,Quarry Rd,Quarry Rd,49.304230,-122.703880,49.306431,-122.704548
395.9,18956,1,0,1,Hazel,3377 Hazel Ave,3377 Hazel Ave,49.307489,-122.756487,49.309300,-122.756825
395.3,18924,1,0,1,Hazel,3387 Hazel Ave,3387 Hazel Ave,49.307489,-122.756487,49.309299,-122.756151
395.1,17504,1,0,1,Panorama,2571 Panorama Dr,2571 Panorama Dr,49.301004,-122.821850,49.302657,-122.821573
394.0,24837,1,0,1,Fremont,1189 Fremont St,1189 Fremont St,49.285886,-122.733416,49.283600,-122.731942
393.7,16149,1,0,1,Victoria,3660 Victoria Dr,3660 Victoria Dr,49.293264,-122.725481,49.291612,-122.725328
391.6,29,1,0,1,Quarry,4916 Quarry Rd,4916 Quarry Rd,49.325910,-122.672328,49.322819,-122.669909
391.1,35268,1,0,1,Pipeline,1725 Pipeline Rd,1725 Pipeline Rd,49.318356,-122.772700,49.319992,-122.771101
388.7,53866,34,33,1,Lougheed,2991 Lougheed Hwy,2991 Lougheed Hwy Bldg 200,49.275970,-122.796190,49.277058,-122.794801
387.7,32549,114,109,5,Inlet,1145 Inlet St,3164 Tahsis Ave,49.281369,-122.785757,49.281623,-122.781930
387.5,4997,1,0,1,Lincoln,1100 Lincoln Ave,1100 Lincoln Ave,49.278519,-122.783888,49.278503,-122.781218
387.0,41957,1,0,1,Guildford,2675 Guildford Way,2675 Guildford Way,49.283480,-122.814948,49.284934,-122.815172
386.5,52640,1,0,1,Lansdowne,1195 Lansdowne Dr,1195 Lansdowne Dr,49.282799,-122.808734,49.283932,-122.806882
385.5,78232,1,0,1,David,3512 David Ave,3512 David Ave,49.295948,-122.735626,49.294672,-122.735489
385.1,41682,8,7,1,Glacier,150 Glacier St,150 Glacier St 202,49.235102,-122.817549,49.236862,-122.817758
381.6,60481,3,0,3,Poirier,575 Poirier St,633 Poirier St,49.255667,-122.846448,49.253541,-122.845111
379.3,61348,1,0,1,Highland,3005 Highland Dr,3005 Highland Dr,49.300219,-122.761404,49.300171,-122.762506
374.9,18963,1,0,1,Gilleys,1391 Gilleys Trail,1391 Gilleys Trail,49.297441,-122.716670,49.295984,-122.713465
370.8,6012,1,0,1,Burbidge,6 Burbidge St,6 Burbidge St,49.223569,-122.823768,49.222956,-122.820084
369.2,7363,1,0,1,Quarry,4932 Quarry Rd,4932 Quarry Rd,49.325910,-122.672328,49.323510,-122.670551
368.2,70264,34,33,1,Lougheed,3000 Lougheed Hwy,3000 Lougheed Hwy Kiosk,49.273664,-122.791126,49.273627,-122.793503
